,Municipality code,Municipality,Population2007,Population2008,Population2009,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018,Population2019,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Age0-4(%),Age5-14(%),Age15-29(%),Age>30(%),AfrocolombianPopulation(%),IndianPopulation(%),PeoplewithDisabilities(%),Peoplewhocannotreadorwrite(%),Secondary/HigherEducation(%),Employedpopulation(%),Unemployedpopulation(%),Peopledoinghousework(%),Retiredpeople(%),Men(%),Women(%),Householdswithoutwateraccess(%),Householdswithoutinternetaccess(%),Buildingstratification1(%),Buildingstratification2(%),Buildingstratification3(%),Buildingstratification4(%),Buildingstratification5(%),Buildingstratification6(%),NumberofhospitalsperKm2,NumberofhousesperKm2,Elevation
0,5001,Medellín,2286126,2309689,2331389,2353410,2379920,2410046,2428850,2436071,2431666,2420516,2414616,2427129,2483545,5,902,413,15570,802,713,2342,3161,3785,17306,2100,1172,1276,5.16,11.96,26.71,56.16,2.51,0.09,6.27,3.17,67.43,43.23,5.64,13.91,5.47,47.01,52.99,1.44,29.47,12.1117,31.2817,26.0471,9.0279,6.4855,3.7062,1.5552629999999998,2102.057895,1650.0
58,5360,Itagüí,245534,248561,251290,254095,257448,261360,264435,266789,268463,269966,272206,276744,283794,0,80,53,3489,106,98,742,302,251,2857,120,54,56,4.83,11.21,25.94,58.02,0.83,0.12,9.03,2.54,68.91,45.17,4.96,14.25,5.7,47.7,52.3,1.27,24.43,6.46,33.6707,43.6206,3.9533,0.0438,0.0374,0.941176,4876.176471,1635.0
125,8001,Barranquilla,1166120,1178933,1191261,1203035,1213705,1222997,1229782,1231220,1224197,1210233,1195887,1206319,1243056,2396,2666,1416,2748,689,946,4131,2678,1403,640,684,1679,1855,7.08,14.9,25.58,52.44,5.21,0.11,4.11,2.68,67.47,39.14,5.57,15.4,3.53,47.92,52.08,0.88,35.02,34.3151,18.3952,18.0855,8.8548,2.9528,2.551,3.433735,1794.650602,69.0
428,23001,Montería,407631,412720,420359,428001,435248,441749,448653,456024,463732,471724,479318,490935,498858,145,230,52,127,364,395,625,1612,630,353,312,1567,1852,7.76,17.25,26.31,48.69,1.7,0.71,2.69,5.93,59.93,36.46,4.61,17.02,1.72,48.51,51.49,10.07,52.84,60.2975,14.4266,6.6937,2.3756,0.8777,0.7190000000000001,0.087552,37.051894,36.0
604,41001,Neiva,327451,330614,333734,336872,339441,341357,343653,346444,349242,351933,354692,357392,361049,1542,1561,2248,2327,673,3128,2445,3564,1850,1294,532,567,5459,7.33,15.19,25.62,51.86,0.63,0.32,7.9,4.0,62.42,38.83,5.54,14.72,3.33,47.86,52.14,2.44,33.99,23.1001,38.5433,8.2185,4.0139,0.8625,0.0719,0.10367,63.426272,460.0
686,50001,Villavicencio,416457,428581,440768,452918,464534,475146,485565,495613,504622,512787,521409,531275,538824,1689,310,1711,3514,1724,2949,5285,4046,2088,1320,556,2276,8258,6.82,15.8,26.75,50.63,0.93,0.36,4.33,3.22,62.3,40.08,5.75,12.71,2.77,49.33,50.67,5.99,36.51,21.672,21.0672,27.9166,3.6941,1.5769,0.4983,0.173648,111.006093,323.0
779,54001,Cúcuta,625064,632621,639844,646330,650910,653191,656235,659497,663508,671830,683875,711715,749197,2946,2816,3105,5101,1698,2628,5123,5015,2071,995,416,2687,3569,7.04,15.73,26.52,50.71,0.52,0.07,8.5,4.17,58.41,37.2,6.42,16.29,2.0,48.36,51.64,4.1,48.98,27.4442,32.0277,11.6209,5.372999999999999,0.8365,0.1074,0.181973,155.384354,172.0
845,68001,Bucaramanga,544426,548584,552316,555887,560107,564983,568145,569954,571262,572603,574434,581130,595635,5223,2018,3449,7831,774,1470,4843,5021,2594,2097,372,601,2525,6.22,13.07,25.78,54.93,1.58,0.05,6.47,2.6,65.54,42.33,5.71,12.53,4.77,47.46,52.54,4.78,24.7,17.9181,13.5954,21.0981,24.3927,2.6034,3.84,2.203704,984.895062,1034.0
958,73001,Ibagué,505035,503738,502794,502450,503439,505734,507360,509342,512706,517940,524123,529635,536087,1047,563,1828,6508,944,2354,5617,3101,5221,2230,606,600,5130,5.92,13.83,25.27,54.98,0.45,0.61,4.39,3.24,64.43,39.11,5.49,14.41,4.91,47.79,52.21,3.08,37.91,17.2832,39.7877,18.9929,6.3236,1.1815,0.2205,0.19319,117.583739,1546.0
1005,76001,Cali,2119853,2126148,2132929,2142983,2161633,2187824,2200879,2205718,2208089,2208181,2206804,2227642,2241491,159,1147,6335,11708,1450,2050,17539,5855,14523,19414,3710,1735,3890,5.37,12.38,24.73,57.52,14.44,0.52,9.67,3.02,68.56,44.33,5.22,12.93,5.73,46.79,53.21,0.88,23.99,17.3906,23.1654,27.317,9.2994,6.5725,2.3033,1.053381,1064.918149,1075.0
